1,human,author_28,0.9565217391304348,2.5
2,human,author_1,1,\N
3,human,author_69,0.7575757575757576,2.449489742783178
4,human,author_30,0.9230769230769231,\N
5,ai,gpt-4o-mini,1,\N
6,human,author_100,1,\N
7,human,author_32,0.9354838709677419,4
8,ai,gpt-5-base,1,\N
9,human,author_15,1,\N
10,ai,claude-2,1,\N
11,human,author_63,1,4
12,human,author_69,0.8888888888888888,5
13,human,author_52,0.9545454545454546,5.5
14,ai,gpt-4o-mini,0.95,3.7712361663282534
15,human,author_32,0.9333333333333333,3.5
16,ai,gpt-4o-mini,1,3.5
17,human,author_10,1,7
18,ai,bloomz-7b,1,\N
19,ai,claude-2,0.9565217391304348,2
20,ai,claude-2,1,1.5
21,human,author_6,1,6
22,human,author_86,1,\N
23,ai,llama-3-small,1,4
24,human,author_71,0.95,4
25,ai,llama-3-small,1,2
26,ai,gpt-5-base,1,\N
27,ai,gpt-5-base,0.95,1
28,ai,gpt-4o-mini,1,\N
29,ai,gpt-4o-mini,1,\N
30,human,author_59,1,\N
31,ai,claude-2,0.9375,4
32,ai,llama-3-small,0.9545454545454546,3
33,ai,claude-2,1,\N
34,human,author_86,1,\N
35,ai,llama-3-small,0.9285714285714286,\N
36,ai,gpt-5-base,1,\N
37,ai,gpt-5-base,1,\N
38,human,author_92,1,4.5
39,ai,claude-2,0.9545454545454546,1.5
40,ai,bloomz-7b,0.9473684210526315,3
41,ai,claude-2,0.9230769230769231,\N
42,ai,bloomz-7b,0.95,2.5
43,human,author_75,0.9090909090909091,\N
44,human,author_95,1,3.5
45,human,author_51,1,0
46,human,author_49,1,\N
47,ai,gpt-4o-mini,1,\N
48,human,author_33,1,\N
49,ai,llama-3-small,\N,\N
50,ai,claude-2,1,\N
51,human,author_59,0.9354838709677419,1.5
52,human,author_94,1,\N
53,ai,bloomz-7b,1,\N
54,ai,claude-2,0.9230769230769231,\N
55,human,author_12,1,\N
56,ai,bloomz-7b,1,\N
57,ai,bloomz-7b,1,4.5
58,ai,gpt-4o-mini,1,2.5
59,human,author_44,1,\N
60,human,author_73,0.9565217391304348,2.5
61,ai,bloomz-7b,1,\N
62,ai,gpt-5-base,0.7333333333333333,1
63,human,author_26,0.7666666666666667,2
64,ai,claude-2,1,\N
65,ai,gpt-4o-mini,\N,\N
66,ai,llama-3-small,0.875,4
67,human,author_61,1,\N
68,ai,claude-2,1,\N
69,human,author_47,1,1.5
70,ai,llama-3-small,0.6666666666666666,1.5
71,human,author_35,0.9615384615384616,4
72,ai,bloomz-7b,0.9444444444444444,4.5
73,ai,bloomz-7b,1,\N
74,ai,bloomz-7b,1,\N
75,human,author_76,1,\N
76,ai,llama-3-small,1,\N
77,ai,bloomz-7b,1,\N
78,human,author_91,1,\N
79,human,author_88,1,4
80,human,author_82,1,\N
81,ai,claude-2,1,\N
82,ai,claude-2,1,\N
83,ai,llama-3-small,\N,\N
84,human,author_81,1,\N
85,human,author_17,1,\N
86,ai,llama-3-small,1,\N
87,human,author_51,1,\N
88,human,author_14,1,\N
89,human,author_90,1,\N
90,ai,bloomz-7b,0.8947368421052632,0.5
91,ai,llama-3-small,1,\N
92,human,author_83,1,\N
93,ai,gpt-4o-mini,0.9565217391304348,2
94,human,author_30,1,\N
95,ai,gpt-4o-mini,1,\N
96,human,author_100,1,2.5
97,ai,bloomz-7b,1,\N
98,human,author_75,0.5862068965517241,0.5
99,ai,claude-2,\N,\N
100,human,author_33,1,\N
101,ai,gpt-4o-mini,0.9333333333333333,3.265986323710904
102,ai,gpt-5-base,1,\N
103,human,author_83,1,2.5
104,human,author_9,0.96,5
105,human,author_7,0.9473684210526315,4.5
106,human,author_97,1,\N
107,human,author_77,1,\N
108,human,author_56,1,\N
109,human,author_6,1,\N
110,ai,gpt-4o-mini,1,\N
111,ai,claude-2,1,\N
112,human,author_31,0.7941176470588235,5.2493385826745405
113,human,author_97,1,5.5
114,ai,llama-3-small,0.9166666666666666,\N
115,human,author_12,1,\N
116,ai,claude-2,\N,\N
117,ai,gpt-4o-mini,1,\N
118,human,author_7,1,\N
119,ai,llama-3-small,1,\N
120,human,author_49,1,\N
121,ai,bloomz-7b,1,\N
122,human,author_99,0.9565217391304348,2.5
123,human,author_31,1,4.5
124,ai,claude-2,1,4.5
125,ai,gpt-4o-mini,1,\N
126,ai,claude-2,1,\N
127,human,author_50,1,\N
128,human,author_61,0.8108108108108109,1.5
129,ai,llama-3-small,1,3.5
130,human,author_66,1,5
131,human,author_9,0.9545454545454546,3.5
132,human,author_94,1,\N
133,human,author_62,1,4.5
134,human,author_5,0.9473684210526315,4.4969125210773475
135,human,author_50,1,\N
136,ai,gpt-5-base,1,\N
137,ai,gpt-4o-mini,1,\N
138,ai,gpt-5-base,0.9285714285714286,\N
139,human,author_20,0.9523809523809523,1.5
140,ai,gpt-4o-mini,1,\N
141,human,author_37,1,\N
142,ai,gpt-4o-mini,1,\N
143,ai,gpt-4o-mini,1,\N
144,ai,bloomz-7b,0.9166666666666666,\N
145,ai,claude-2,0.95,2
146,human,author_67,1,6
147,ai,gpt-5-base,1,\N
148,human,author_99,1,\N
149,ai,gpt-4o-mini,0.7,4
150,human,author_45,1,\N
151,ai,llama-3-small,0.9090909090909091,\N
152,ai,gpt-5-base,1,\N
153,ai,llama-3-small,1,\N
154,human,author_34,1,\N
155,ai,claude-2,1,\N
156,ai,gpt-5-base,0.9523809523809523,1
157,ai,claude-2,0.9473684210526315,1.5
158,ai,llama-3-small,1,\N
159,ai,bloomz-7b,1,\N
160,ai,gpt-5-base,1,\N
161,human,author_95,0.9473684210526315,2.5
162,human,author_69,1,\N
163,ai,gpt-5-base,1,\N
164,ai,bloomz-7b,1,\N
165,ai,claude-2,1,\N
166,ai,gpt-4o-mini,1,3.5
167,ai,gpt-4o-mini,0.8,3
168,human,author_5,1,\N
169,ai,gpt-5-base,0.9666666666666667,1
170,ai,claude-2,1,\N
171,human,author_32,1,\N
172,human,author_47,1,\N
173,human,author_82,0.9090909090909091,\N
174,ai,bloomz-7b,1,3.5
175,human,author_65,0.9333333333333333,\N
176,human,author_58,1,4
177,human,author_1,1,\N
178,human,author_61,1,\N
179,human,author_49,1,\N
180,ai,claude-2,1,\N
181,ai,bloomz-7b,1,\N
182,human,author_3,0.9444444444444444,5
183,human,author_30,1,\N
184,human,author_42,1,\N
185,human,author_55,1,4.5
186,ai,bloomz-7b,1,\N
187,human,author_32,1,\N
188,ai,claude-2,1,\N
189,human,author_2,1,\N
190,human,author_37,0.9090909090909091,\N
191,ai,llama-3-small,1,\N
192,human,author_38,1,5.5
193,human,author_63,1,\N
194,ai,gpt-4o-mini,1,4
